# vza case I Q U nstreams nquad m_max l_max elapsed_s
 20.0        ref32_n17_l32 5.477040768e+00 1.272994876e-01 0.000000000e+00   17   18   31   32     33.33
 20.0        ref64_n17_l32 5.475456844e+00 1.272850514e-01 0.000000000e+00   17   18   31   32     25.67
 20.0        big32_n50_l32 5.454085350e+00 1.269668937e-01 0.000000000e+00   50   51   31   32     59.77
 20.0        big64_n50_l32 5.475485613e+00 1.272871020e-01 0.000000000e+00   50   51   31   32     63.14
 20.0       big32_n111_l32 5.749064922e+00 1.304560155e-01 0.000000000e+00  111  112   31   32    257.80
 20.0       big64_n111_l32 5.475489408e+00 1.272873111e-01 0.000000000e+00  111  112   31   32    311.93
 20.0        unt32_n50_l99 5.454072952e+00 1.269658506e-01 0.000000000e+00   50   51   99  221    805.76
 20.0        unt64_n50_l99 5.475475691e+00 1.272857531e-01 0.000000000e+00   50   51   99  221    873.04
 20.0        f32lo_n50_l32 5.454085350e+00 1.269668937e-01 0.000000000e+00   50   51   31   32     53.41
 20.0       f32lo_n111_l32 5.749064922e+00 1.304560155e-01 0.000000000e+00  111  112   31   32    219.88
 45.0        ref32_n17_l32 5.619947910e+00 3.460580707e-01 0.000000000e+00   17   18   31   32      3.83
 45.0        ref64_n17_l32 5.625383931e+00 3.462032165e-01 0.000000000e+00   17   18   31   32      4.30
 45.0        big32_n50_l32 5.658052921e+00 3.472906053e-01 0.000000000e+00   50   51   31   32     50.75
 45.0        big64_n50_l32 5.625426009e+00 3.462071622e-01 0.000000000e+00   50   51   31   32     61.17
